id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52137504,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,73224072,Jörg,,Au-Haidhausen,48.12301,11.5899,Entire home/apt,199,5,3,2022-10-30,0.34,1,0,3,
52141450,Hotel in Munich · ★4.67 · 1 bedroom · 1 bed · 1 private bath,421366500,Petra,,Altstadt-Lehel,48.13513946533203,11.567562103271484,Private room,156,1,33,2023-06-03,1.64,5,8,28,
52141999,Hotel in Munich · ★5.0 · 1 bedroom · 2 beds · 1 private bath,421366500,Petra,,Altstadt-Lehel,48.13513946533203,11.567562103271484,Private room,176,1,4,2023-04-26,0.35,5,21,4,
52142260,Hotel in Munich · ★4.62 · 2 bedrooms · 4 beds · 1 private bath,421366500,Petra,,Altstadt-Lehel,48.13513946533203,11.567562103271484,Private room,352,1,34,2023-05-07,1.69,5,3,22,
52157344,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,377192563,Schwan Locke,,Ludwigsvorstadt-Isarvorstadt,48.13747,11.55457,Entire home/apt,234,1,1,2021-12-27,0.05,6,362,0,
52163235,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 bath,9121151,Laura,,Sendling,48.12586,11.54038,Entire home/apt,105,2,21,2023-01-01,0.97,1,20,10,
52169194,Home in Munich · ★4.48 · 1 bedroom · 1 bed · 1 shared bath,373727596,Balwinder,,Aubing-Lochhausen-Langwied,48.14356,11.42395,Private room,41,1,105,2023-06-19,4.82,11,63,62,
52179501,Rental unit in Munich · 1 bedroom · 1 bed · 1 bath,13552115,Maria,,Neuhausen-Nymphenburg,48.15414,11.53049,Entire home/apt,90,2,2,2022-09-03,0.19,2,0,2,
52184717,Rental unit in Munich · 1 bedroom · 2 beds · 1 bath,301439204,Catharina,,Neuhausen-Nymphenburg,48.16076,11.54072,Entire home/apt,120,2,2,2021-12-27,0.10,1,228,0,
52187020,Rental unit in Munich · ★New · 1 bedroom · 1 bed · 1 bath,3649124,Nima,,Sendling-Westpark,48.10755604696074,11.535236148631911,Private room,48,3,1,2023-05-31,1,1,28,1,
52187305,Rental unit in Munich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,96806912,Torsten,,Schwanthalerhöhe,48.14048,11.53767,Private room,49,28,4,2022-10-27,0.19,1,54,2,
52218341,Rental unit in Munich · 2 bedrooms · 2 beds · 1 bath,34591257,Christine,,Au-Haidhausen,48.13705,11.61057,Entire home/apt,139,2,2,2022-05-13,0.10,2,20,0,
52253860,Rental unit in Munich · 1 bedroom · 1 bed · 1 shared bath,59340387,Max,,Schwanthalerhöhe,48.13716,11.53603,Private room,70,5,2,2023-05-15,0.15,1,1,1,
